,index,log-age-yr,Vmag,Kmag,V-F220W,V-F250W,V-F330W,V-F410W,V-F435W,V-F475W,V-F555W,V-F606W,V-F625W,V-F775W,V-F814W,log Nly,Mt/Lb,Mt/Lv,Mt/Lk,Z,Library
2700,60,6.839999,0.8282,-1.7843,2.1987,1.8365,1.2629,0.1678,0.0209,-0.0497,-0.0104,0.088,0.1755,0.6367,0.7737,44.4285,0.0133,0.0236,0.0086,0.05,xmiless
2701,61,6.860003,0.9089,-1.6697,2.2165,1.8568,1.2868,0.1965,0.0467,-0.0313,-0.0069,0.079,0.1549,0.5954,0.7295,44.3042,0.0139,0.0253,0.0095,0.05,xmiless
2702,62,6.880002,0.9735,-1.6549,2.2146,1.8571,1.2908,0.2067,0.0565,-0.0239,-0.0057,0.0759,0.1471,0.5967,0.7359,44.2096,0.0145,0.0267,0.0095,0.05,xmiless
2703,63,6.900001,1.0464,-1.6363,2.2161,1.8607,1.2981,0.2203,0.0694,-0.0141,-0.004,0.0718,0.1368,0.5976,0.7428,44.1179,0.0153,0.0284,0.0097,0.05,xmiless
2704,64,6.919998,1.1282,-1.6138,2.223,1.8694,1.3103,0.2389,0.0867,-0.0012,-0.0018,0.0664,0.1229,0.5971,0.7496,44.0296,0.0161,0.0305,0.0098,0.05,xmiless
2705,65,6.939998,1.2202,-1.5866,2.2363,1.8844,1.3289,0.2636,0.1096,0.0157,0.0012,0.059,0.104,0.5947,0.756,43.9384,0.0171,0.033,0.01,0.05,xmiless
2706,66,6.96,1.3221,-1.5542,2.259,1.9087,1.3566,0.297,0.1401,0.0384,0.0053,0.0487,0.0776,0.5883,0.7603,43.8424,0.0182,0.036,0.0102,0.05,xmiless
2707,67,6.979999,1.4205,-1.4502,2.2919,1.9443,1.3965,0.3423,0.1813,0.0689,0.0112,0.033,0.038,0.5446,0.7211,43.7491,0.0191,0.0392,0.0112,0.05,xmiless
2708,68,7.0,1.4857,-1.3142,2.2976,1.953,1.4099,0.3632,0.2011,0.0839,0.0145,0.0229,0.014,0.4781,0.6491,43.658,0.0198,0.0414,0.0126,0.05,xmiless
2709,69,7.019988,1.5291,-1.2924,2.2775,1.936,1.398,0.361,0.2004,0.0841,0.0146,0.022,0.0125,0.4702,0.643,43.5614,0.0206,0.043,0.0128,0.05,xmiless
2710,70,7.040009,1.5731,-1.2654,2.2579,1.9191,1.3861,0.3587,0.1996,0.0841,0.0147,0.0212,0.0111,0.4624,0.6369,43.4705,0.0214,0.0446,0.0131,0.05,xmiless
2711,71,7.060018,1.6188,-1.2319,2.2373,1.9011,1.3732,0.3558,0.1984,0.0839,0.0147,0.0206,0.0101,0.4558,0.6314,43.3832,0.0222,0.0464,0.0135,0.05,xmiless
2712,72,7.080013,1.6658,-1.1919,2.2152,1.8816,1.3591,0.3521,0.1965,0.0833,0.0146,0.0201,0.0095,0.451,0.6272,43.2984,0.0232,0.0483,0.014,0.05,xmiless
2713,73,7.099991,1.7135,-1.1444,2.1934,1.8623,1.3448,0.3478,0.1941,0.0823,0.0144,0.02,0.0096,0.4484,0.6244,43.219,0.0242,0.0503,0.0145,0.05,xmiless
2714,74,7.119981,1.7569,-1.0548,2.173,1.8444,1.3318,0.3442,0.1921,0.0816,0.0143,0.0194,0.0088,0.4386,0.6096,43.1362,0.0251,0.0522,0.0158,0.05,xmiless
2715,75,7.140005,1.7923,-0.9138,2.1559,1.8302,1.3228,0.3445,0.1938,0.0834,0.015,0.0163,0.0027,0.392,0.5512,43.0493,0.0258,0.0538,0.0179,0.05,xmiless
2716,76,7.159988,1.8209,-0.8622,2.1289,1.8065,1.3048,0.3372,0.1886,0.0804,0.0144,0.0172,0.0054,0.3946,0.5515,42.9557,0.0265,0.0551,0.0187,0.05,xmiless
2717,77,7.180011,1.8494,-0.8354,2.1002,1.7809,1.2853,0.3288,0.1826,0.0767,0.0136,0.0186,0.0093,0.4044,0.5618,42.8603,0.0273,0.0564,0.0191,0.05,xmiless
2718,78,7.200002,1.879,-0.8041,2.0704,1.7543,1.2649,0.3199,0.1761,0.0728,0.0129,0.0202,0.0135,0.4131,0.5707,42.7618,0.0281,0.0577,0.0196,0.05,xmiless
2719,79,7.220004,1.91,-0.7679,2.0387,1.726,1.2431,0.3103,0.169,0.0685,0.012,0.0218,0.0179,0.4207,0.5782,42.6574,0.029,0.0592,0.0202,0.05,xmiless
2720,80,7.24,1.9422,-0.7256,2.0056,1.6964,1.2202,0.2999,0.1614,0.0638,0.0111,0.0235,0.0227,0.4267,0.5836,42.5603,0.03,0.0608,0.0209,0.05,xmiless
2721,81,7.26,1.9758,-0.6762,1.9713,1.6654,1.1961,0.2887,0.1531,0.0587,0.0102,0.0252,0.0277,0.4309,0.5868,42.4648,0.031,0.0625,0.0218,0.05,xmiless
2722,82,7.280009,2.0099,-0.6188,1.9353,1.6329,1.1707,0.2766,0.1441,0.0531,0.0092,0.0271,0.0331,0.4326,0.5866,42.3708,0.0321,0.0643,0.023,0.05,xmiless
2723,83,7.300008,2.0432,-0.5516,1.9003,1.6011,1.1456,0.2642,0.1348,0.0472,0.0081,0.0289,0.0386,0.4306,0.582,42.2826,0.0333,0.0661,0.0243,0.05,xmiless
2724,84,7.320001,2.0767,-0.4725,1.8645,1.5685,1.1196,0.2509,0.1248,0.0409,0.0071,0.0308,0.0444,0.4248,0.5727,42.2007,0.0345,0.068,0.0261,0.05,xmiless
2725,85,7.340008,2.1097,-0.3695,1.8306,1.5375,1.0946,0.2376,0.1147,0.0344,0.006,0.0324,0.0498,0.4123,0.5545,42.1244,0.0357,0.0698,0.0286,0.05,xmiless
2726,86,7.360006,2.1399,-0.2158,1.8077,1.5177,1.0807,0.2343,0.1132,0.0339,0.0062,0.0305,0.0469,0.3708,0.5014,42.0526,0.0367,0.0716,0.0328,0.05,xmiless
2727,87,7.379994,2.1686,-0.1367,1.7819,1.4952,1.0645,0.2294,0.1102,0.0325,0.006,0.0303,0.047,0.3588,0.4841,41.9768,0.0376,0.0733,0.0352,0.05,xmiless
2728,88,7.400002,2.1927,-0.1126,1.7504,1.4672,1.0432,0.22,0.1033,0.0282,0.0052,0.032,0.0515,0.3658,0.4905,41.8966,0.0386,0.0748,0.0359,0.05,xmiless
2729,89,7.420005,2.2171,-0.0847,1.7176,1.438,1.021,0.2102,0.0961,0.0238,0.0044,0.0337,0.0561,0.3721,0.4959,41.8155,0.0396,0.0763,0.0368,0.05,xmiless
2730,90,7.439995,2.2419,-0.052,1.6842,1.4083,0.9985,0.2002,0.0886,0.0193,0.0036,0.0355,0.0607,0.3777,0.5,41.7287,0.0407,0.0779,0.0378,0.05,xmiless
2731,91,7.462398,2.2707,-0.0089,1.6448,1.3732,0.9719,0.1883,0.0799,0.014,0.0026,0.0376,0.0662,0.3833,0.5033,41.6258,0.0419,0.0798,0.0393,0.05,xmiless
2732,92,7.477121,2.2899,0.0235,1.6182,1.3495,0.954,0.1803,0.074,0.0103,0.0019,0.039,0.0699,0.3864,0.5045,41.5597,0.0428,0.0811,0.0404,0.05,xmiless
2733,93,7.491362,2.3087,0.0584,1.5919,1.3261,0.9363,0.1724,0.0681,0.0067,0.0013,0.0404,0.0735,0.3889,0.5048,41.4942,0.0437,0.0824,0.0417,0.05,xmiless
2734,94,7.50515,2.3277,0.0962,1.566,1.303,0.9188,0.1645,0.0622,0.0031,0.0006,0.0418,0.0771,0.3911,0.5045,41.4314,0.0446,0.0837,0.0431,0.05,xmiless
2735,95,7.518514,2.3462,0.1366,1.5406,1.2802,0.9015,0.1567,0.0564,-0.0004,0.0,0.0432,0.0806,0.3928,0.5035,41.3718,0.0455,0.085,0.0446,0.05,xmiless
2736,96,7.531479,2.3641,0.18,1.5158,1.2582,0.8847,0.1491,0.0508,-0.0039,-0.0006,0.0445,0.0841,0.3939,0.5017,41.3156,0.0465,0.0863,0.0464,0.05,xmiless
2737,97,7.544068,2.3816,0.2271,1.492,1.2369,0.8688,0.1417,0.0453,-0.0073,-0.0012,0.0458,0.0874,0.3944,0.4989,41.2643,0.0474,0.0876,0.0484,0.05,xmiless
2738,98,7.556303,2.3985,0.278,1.4689,1.2164,0.8535,0.1345,0.0399,-0.0105,-0.0018,0.047,0.0907,0.3941,0.4951,41.2179,0.0482,0.0889,0.0506,0.05,xmiless
2739,99,7.568202,2.4146,0.3368,1.4476,1.1976,0.8398,0.1281,0.0352,-0.0134,-0.0023,0.048,0.0934,0.3919,0.4888,41.1781,0.0491,0.0901,0.0534,0.05,xmiless
2740,100,7.579783,2.4303,0.4042,1.43,1.1826,0.83,0.1251,0.0335,-0.0141,-0.0024,0.0481,0.0937,0.3838,0.4757,41.1411,0.0498,0.0913,0.0567,0.05,xmiless
2741,101,7.591064,2.4473,0.4548,1.4134,1.1687,0.8215,0.1236,0.033,-0.014,-0.0023,0.0476,0.0929,0.3773,0.4661,41.1028,0.0505,0.0926,0.0594,0.05,xmiless
2742,102,7.60206,2.4642,0.4991,1.3971,1.155,0.8133,0.1221,0.0326,-0.0138,-0.0022,0.0472,0.092,0.372,0.4589,41.0665,0.0513,0.0939,0.0618,0.05,xmiless
2743,103,7.628389,2.497,0.5302,1.3503,1.1149,0.787,0.1116,0.0254,-0.0177,-0.0029,0.0489,0.0961,0.3813,0.4691,40.9766,0.053,0.0965,0.0634,0.05,xmiless
2744,104,7.653213,2.5286,0.5624,1.3068,1.0782,0.7641,0.1026,0.0193,-0.0209,-0.0034,0.0504,0.0996,0.3894,0.478,40.8912,0.0546,0.0991,0.0651,0.05,xmiless
2745,105,7.676693,2.5606,0.6007,1.265,1.0432,0.7432,0.0944,0.0138,-0.0237,-0.0039,0.0517,0.1026,0.3964,0.4854,40.8081,0.0563,0.1018,0.0673,0.05,xmiless
2746,106,7.69897,2.5923,0.6454,1.2267,1.0112,0.7241,0.0871,0.0089,-0.0263,-0.0043,0.0528,0.1051,0.4022,0.4914,40.7322,0.0581,0.1046,0.0699,0.05,xmiless
2747,107,7.72016,2.6237,0.703,1.1924,0.9825,0.7067,0.081,0.0049,-0.0284,-0.0046,0.0535,0.1069,0.405,0.4934,40.6664,0.0598,0.1074,0.0736,0.05,xmiless
2748,108,7.740363,2.6544,0.7649,1.1647,0.96,0.6947,0.0794,0.0047,-0.0278,-0.0044,0.0526,0.105,0.3967,0.4837,40.6068,0.0614,0.1103,0.0777,0.05,xmiless
2749,109,7.756545,2.6785,0.8051,1.1396,0.9392,0.6826,0.0765,0.0032,-0.0282,-0.0044,0.0522,0.1044,0.3932,0.4793,40.5586,0.0627,0.1125,0.0805,0.05,xmiless
2750,110,7.806546,2.7418,0.8684,1.0466,0.8594,0.6289,0.0537,-0.0134,-0.038,-0.0061,0.0551,0.1121,0.4057,0.4921,40.4257,0.067,0.1186,0.0849,0.05,xmiless
2751,111,7.856548,2.8135,0.9535,0.945,0.7708,0.5669,0.0278,-0.0319,-0.0487,-0.0078,0.0577,0.1193,0.414,0.4995,40.2999,0.0721,0.1258,0.0911,0.05,xmiless
2752,112,7.906545,2.8893,1.0868,0.8461,0.6847,0.5071,0.0052,-0.0474,-0.0572,-0.009,0.0585,0.1228,0.408,0.4893,40.1653,0.0777,0.1338,0.1022,0.05,xmiless
2753,113,7.956543,2.9643,1.227,0.7534,0.6062,0.4567,-0.0063,-0.0531,-0.0588,-0.0091,0.0569,0.1201,0.3965,0.4731,40.0053,0.0829,0.1423,0.1154,0.05,xmiless
2754,114,8.006552,3.0235,0.6267,0.623,0.4908,0.373,-0.0382,-0.0762,-0.0726,-0.0116,0.0627,0.1336,0.4473,0.5561,40.9892,0.0885,0.1491,0.0659,0.05,xmiless
2755,115,8.056561,3.0924,0.6456,0.4832,0.3685,0.2873,-0.0686,-0.0977,-0.0849,-0.0136,0.0667,0.1436,0.4673,0.5781,40.9861,0.0952,0.1576,0.0665,0.05,xmiless
2756,116,8.106531,3.1693,0.6861,0.3363,0.2431,0.204,-0.0985,-0.1179,-0.0957,-0.0152,0.0691,0.1501,0.476,0.5867,41.0567,0.103,0.1679,0.0685,0.05,xmiless
2757,117,8.156549,3.2552,0.7557,0.2229,0.1483,0.1432,-0.1201,-0.1309,-0.1013,-0.0158,0.0685,0.1501,0.4662,0.5738,41.012,0.1117,0.1802,0.0725,0.05,xmiless
2758,118,8.206556,3.3334,0.8043,0.1209,0.0611,0.0828,-0.1388,-0.1413,-0.1053,-0.0162,0.0678,0.1496,0.4605,0.5681,41.0438,0.1199,0.1922,0.0752,0.05,xmiless
2759,119,8.25655,3.4033,0.8732,-0.0168,-0.0572,-0.0017,-0.1781,-0.1688,-0.1206,-0.0187,0.0729,0.162,0.4859,0.5934,41.0187,0.1297,0.2033,0.0794,0.05,xmiless
2760,120,8.306554,3.4752,0.9047,-0.1766,-0.1904,-0.0925,-0.2242,-0.2012,-0.1386,-0.0215,0.0791,0.1765,0.5179,0.6278,41.006,0.1414,0.216,0.0813,0.05,xmiless
2761,121,8.356543,3.5547,0.9524,-0.3375,-0.3189,-0.1762,-0.2703,-0.2324,-0.155,-0.0239,0.0839,0.1882,0.5427,0.6539,40.9468,0.155,0.231,0.0845,0.05,xmiless
2762,122,8.40654,3.6456,1.0147,-0.5057,-0.4459,-0.2508,-0.3196,-0.2662,-0.1727,-0.0264,0.0886,0.1996,0.5649,0.6764,40.9314,0.1722,0.2498,0.089,0.05,xmiless
2763,123,8.456549,3.7431,1.0932,-0.6631,-0.5586,-0.3138,-0.3668,-0.2986,-0.189,-0.0284,0.092,0.2081,0.579,0.6899,40.9141,0.1921,0.2717,0.0951,0.05,xmiless
2764,124,8.506546,3.852,1.2008,-0.7723,-0.6353,-0.3502,-0.4005,-0.3213,-0.1996,-0.0293,0.0923,0.21,0.5756,0.684,40.8947,0.215,0.2986,0.1044,0.05,xmiless
2765,125,8.556543,3.9526,1.3034,-0.8985,-0.7153,-0.3832,-0.4404,-0.3504,-0.2148,-0.031,0.0947,0.2165,0.5835,0.6891,40.8718,0.2402,0.3257,0.1141,0.05,xmiless
2766,126,8.606543,4.0489,1.3901,-1.0686,-0.8226,-0.4348,-0.4954,-0.3912,-0.2375,-0.034,0.1008,0.2306,0.609,0.7141,40.8401,0.2699,0.3538,0.1228,0.05,xmiless
2767,127,8.656549,4.1482,1.401,-1.2749,-0.9536,-0.5011,-0.5627,-0.4427,-0.267,-0.038,0.1104,0.2516,0.6514,0.7616,40.8193,0.3065,0.3849,0.1232,0.05,xmiless
2768,128,8.706547,4.2458,1.4244,-1.4718,-1.0701,-0.5532,-0.6189,-0.4872,-0.293,-0.0417,0.1188,0.2699,0.6856,0.8004,40.7956,0.3454,0.4181,0.1249,0.05,xmiless
2769,129,8.756545,4.3527,1.4555,-1.6685,-1.1851,-0.6069,-0.6706,-0.5279,-0.3166,-0.0449,0.127,0.2871,0.7192,0.8392,40.7665,0.3914,0.458,0.1276,0.05,xmiless
2770,130,8.806546,4.4512,1.4847,-1.9542,-1.3332,-0.6696,-0.7332,-0.5782,-0.3457,-0.0489,0.1368,0.3077,0.7582,0.8831,40.7308,0.4434,0.4978,0.1302,0.05,xmiless
2771,131,8.856547,4.5652,1.4864,-2.3458,-1.5222,-0.7508,-0.8098,-0.6377,-0.3789,-0.0533,0.1485,0.3315,0.8075,0.9395,40.7217,0.5132,0.5488,0.1294,0.05,xmiless
2772,132,8.90655,4.6827,1.5322,-2.7352,-1.6807,-0.8099,-0.8841,-0.6948,-0.4101,-0.0573,0.1585,0.3517,0.845,0.98,40.7043,0.5953,0.6076,0.1341,0.05,xmiless
2773,133,8.956548,4.8036,1.5887,-3.1513,-1.8504,-0.8807,-0.9598,-0.7507,-0.4399,-0.0611,0.1674,0.37,0.8765,1.0148,40.6827,0.6916,0.6747,0.1403,0.05,xmiless
2774,134,9.006552,4.924,1.6553,-3.4777,-1.9879,-0.9481,-1.0239,-0.7951,-0.4628,-0.064,0.1741,0.3839,0.9011,1.0425,40.656,0.7954,0.749,0.1482,0.05,xmiless
2775,135,9.056561,5.0199,1.7146,-3.7235,-2.1096,-1.024,-1.0893,-0.84,-0.4863,-0.0673,0.1818,0.3993,0.9311,1.0756,40.6231,0.8946,0.8127,0.1555,0.05,xmiless
2776,136,9.106565,5.0903,1.7654,-3.9573,-2.2469,-1.1174,-1.1682,-0.8933,-0.5139,-0.0711,0.1909,0.4172,0.9645,1.1124,40.5819,0.9892,0.8614,0.1619,0.05,xmiless
2777,137,9.156549,5.2897,1.9889,-4.0292,-2.2564,-1.1082,-1.1726,-0.8962,-0.5149,-0.0713,0.1923,0.4192,0.9773,1.1236,40.7715,1.1833,1.0282,0.1976,0.05,xmiless
2778,138,9.206556,5.4172,2.0688,-4.1441,-2.3253,-1.1535,-1.2144,-0.9235,-0.5288,-0.0732,0.1979,0.4295,1.0061,1.1562,40.7832,1.3482,1.1466,0.2109,0.05,xmiless
2779,139,9.225309,5.4687,2.1141,-4.166,-2.3395,-1.1625,-1.2283,-0.9324,-0.5332,-0.0739,0.1996,0.4327,1.0145,1.1654,40.7904,1.419,1.1984,0.2192,0.05,xmiless
2780,140,9.230449,5.4835,2.1288,-4.1722,-2.3437,-1.1651,-1.2314,-0.9344,-0.5341,-0.074,0.1999,0.4333,1.0162,1.1672,40.7926,1.4394,1.2138,0.2219,0.05,xmiless
2781,141,9.255273,5.5642,2.2098,-4.1944,-2.3587,-1.1744,-1.2458,-0.9433,-0.5384,-0.0746,0.2015,0.4363,1.0235,1.1749,40.804,1.5544,1.3018,0.2381,0.05,xmiless
2782,142,9.278753,5.6503,2.3842,-4.2032,-2.3583,-1.1699,-1.2505,-0.9457,-0.5391,-0.0747,0.2014,0.4363,1.0202,1.1676,40.7482,1.6787,1.4037,0.2785,0.05,xmiless
2783,143,9.30103,5.7021,2.4234,-4.2454,-2.3955,-1.1969,-1.2744,-0.961,-0.5469,-0.0758,0.2045,0.4421,1.0329,1.182,40.7506,1.775,1.4666,0.2876,0.05,xmiless
2784,144,9.322219,5.7534,2.4637,-4.2913,-2.4367,-1.225,-1.2963,-0.9748,-0.5539,-0.0769,0.2074,0.4474,1.0445,1.1951,40.7594,1.8741,1.5319,0.2974,0.05,xmiless
2785,145,9.342422,5.8029,2.5047,-4.3395,-2.4778,-1.2497,-1.3137,-0.9857,-0.5596,-0.0777,0.2098,0.4519,1.0547,1.2067,40.7725,1.9717,1.5977,0.3078,0.05,xmiless
2786,146,9.361728,5.8522,2.5461,-4.3958,-2.5216,-1.2729,-1.3298,-0.9959,-0.565,-0.0785,0.2121,0.4561,1.0646,1.2179,40.7892,2.073,1.6664,0.3186,0.05,xmiless
2787,147,9.380211,5.8968,2.5878,-4.4365,-2.5552,-1.2899,-1.3409,-1.0029,-0.5687,-0.0791,0.2137,0.4592,1.0717,1.226,40.8089,2.1648,1.7306,0.3301,0.05,xmiless
2788,148,9.39794,5.9383,2.6296,-4.4731,-2.5874,-1.3067,-1.351,-1.0092,-0.5719,-0.0796,0.2151,0.4618,1.0776,1.2326,40.8309,2.2532,1.7924,0.342,0.05,xmiless
2789,149,9.414973,5.9783,2.671,-4.5092,-2.6215,-1.3249,-1.3623,-1.0161,-0.5755,-0.0801,0.2166,0.4645,1.0836,1.2392,40.8545,2.3436,1.8541,0.3542,0.05,xmiless
2790,150,9.439333,6.0404,2.7436,-4.5539,-2.6666,-1.3495,-1.3765,-1.0243,-0.5796,-0.0807,0.2182,0.4674,1.0902,1.2464,40.8742,2.4867,1.9548,0.377,0.05,xmiless
2791,151,9.477121,6.1202,2.7963,-4.4982,-2.7347,-1.4055,-1.4101,-1.0441,-0.5897,-0.082,0.2223,0.4749,1.1086,1.2676,40.9411,2.7042,2.0928,0.3937,0.05,xmiless
2792,152,9.511884,6.2002,2.8537,-4.4232,-2.796,-1.4615,-1.4444,-1.0638,-0.5997,-0.0833,0.2263,0.4822,1.1261,1.2875,41.0243,2.9423,2.242,0.4131,0.05,xmiless
2793,153,9.544068,6.2837,2.9161,-4.3279,-2.8549,-1.5213,-1.4796,-1.0839,-0.6098,-0.0846,0.2306,0.4898,1.1439,1.3077,41.1115,3.2136,2.4103,0.4355,0.05,xmiless
2794,154,9.574031,6.356,2.982,-4.1984,-2.8637,-1.5505,-1.497,-1.0935,-0.6148,-0.0853,0.233,0.494,1.1547,1.3199,41.1965,3.4468,2.5654,0.4608,0.05,xmiless
2795,155,9.60206,6.4266,3.053,-4.0714,-2.8572,-1.5664,-1.5069,-1.0985,-0.6175,-0.0856,0.2346,0.4967,1.1628,1.3292,41.2767,3.6785,2.7269,0.49,0.05,xmiless
2796,156,9.628389,6.5268,3.1811,-3.9227,-2.8187,-1.5527,-1.4974,-1.0908,-0.6134,-0.0848,0.2333,0.4943,1.1575,1.3227,41.351,3.9947,2.9793,0.5493,0.05,xmiless
2797,157,9.653213,6.5843,3.2515,-3.9974,-2.859,-1.5741,-1.5096,-1.0967,-0.616,-0.0851,0.2342,0.4959,1.1595,1.3243,41.2942,4.2167,3.1304,0.5841,0.05,xmiless
2798,158,9.676694,6.6295,3.2781,-3.9981,-2.8878,-1.6002,-1.5268,-1.1061,-0.6207,-0.0856,0.2361,0.4993,1.1668,1.333,41.2841,4.414,3.2525,0.5965,0.05,xmiless
2799,159,9.69897,6.6734,3.3055,-3.9988,-2.9174,-1.6259,-1.543,-1.1151,-0.6252,-0.0862,0.2379,0.5026,1.1739,1.3412,41.2737,4.6139,3.3757,0.6098,0.05,xmiless
2800,160,9.72016,6.7164,3.3339,-4.0005,-2.9475,-1.6517,-1.5588,-1.1239,-0.6295,-0.0868,0.2397,0.5057,1.1806,1.349,41.263,4.819,3.5015,0.6241,0.05,xmiless
2801,161,9.740363,6.7582,3.3631,-4.0033,-2.9785,-1.6768,-1.5737,-1.1321,-0.6336,-0.0873,0.2413,0.5086,1.187,1.3563,41.252,5.0261,3.6283,0.6392,0.05,xmiless
2802,162,9.759667,6.7993,3.3934,-4.0048,-3.0079,-1.7011,-1.5875,-1.1398,-0.6375,-0.0879,0.2429,0.5114,1.1931,1.3633,41.2408,5.2371,3.7578,0.6555,0.05,xmiless
2803,163,9.778152,6.8393,3.425,-4.0047,-3.0331,-1.7222,-1.5988,-1.1462,-0.6407,-0.0883,0.2442,0.5138,1.1983,1.3693,41.2293,5.4464,3.8884,0.673,0.05,xmiless
2804,164,9.79588,6.878,3.4575,-4.0053,-3.0559,-1.7401,-1.6077,-1.1514,-0.6434,-0.0887,0.2454,0.5159,1.203,1.3746,41.2175,5.6523,4.0189,0.6917,0.05,xmiless
2805,165,9.812913,6.9155,3.4914,-4.0064,-3.0758,-1.7543,-1.6148,-1.1555,-0.6455,-0.0891,0.2463,0.5176,1.207,1.379,41.2054,5.8555,4.1497,0.7118,0.05,xmiless
2806,166,9.829304,6.9519,3.5263,-4.0081,-3.0932,-1.7662,-1.6209,-1.1591,-0.6474,-0.0894,0.2472,0.5191,1.2105,1.3827,41.193,6.0582,4.2811,0.7334,0.05,xmiless
2807,167,9.845098,6.987,3.5623,-4.0105,-3.1071,-1.7752,-1.6252,-1.1616,-0.6488,-0.0896,0.2479,0.5203,1.2133,1.3858,41.1803,6.2552,4.4113,0.7563,0.05,xmiless
2808,168,9.860338,7.022,3.6,-4.0133,-3.1198,-1.7824,-1.6286,-1.1635,-0.6499,-0.0898,0.2484,0.5212,1.2158,1.3884,41.1673,6.4555,4.5456,0.7812,0.05,xmiless
2809,169,9.875061,7.0623,3.6422,-4.0118,-3.1282,-1.7856,-1.6296,-1.164,-0.6502,-0.0899,0.2488,0.5219,1.2181,1.3911,41.1539,6.6879,4.7072,0.8104,0.05,xmiless
2810,170,9.889301,7.1377,3.7727,-4.0827,-3.136,-1.7667,-1.6134,-1.1529,-0.6442,-0.0889,0.2463,0.5173,1.2046,1.3739,41.0841,7.0901,5.0351,0.912,0.05,xmiless
2811,171,9.90309,7.1616,3.7886,-4.0834,-3.1537,-1.7793,-1.6201,-1.1569,-0.6463,-0.0892,0.2471,0.5189,1.2083,1.3781,41.0792,7.2652,5.143,0.9247,0.05,xmiless
2812,172,9.916454,7.1853,3.8043,-4.081,-3.1699,-1.7914,-1.6269,-1.1609,-0.6483,-0.0895,0.248,0.5204,1.212,1.3823,41.0743,7.4428,5.252,0.9374,0.05,xmiless
2813,173,9.929419,7.2088,3.8199,-4.0782,-3.1855,-1.803,-1.6336,-1.1649,-0.6504,-0.0898,0.2488,0.5219,1.2156,1.3866,41.0693,7.6234,5.3624,0.9502,0.05,xmiless
2814,174,9.942008,7.2322,3.8356,-4.0753,-3.2016,-1.8151,-1.6405,-1.169,-0.6525,-0.0902,0.2497,0.5234,1.2192,1.3907,41.0643,7.8088,5.475,0.9633,0.05,xmiless
2815,175,9.954243,7.2554,3.8514,-4.0724,-3.2184,-1.828,-1.6476,-1.1731,-0.6546,-0.0905,0.2505,0.5249,1.2226,1.3946,41.0592,7.9976,5.5893,0.9766,0.05,xmiless
2816,176,9.966142,7.2784,3.8671,-4.0697,-3.2359,-1.8413,-1.6547,-1.1772,-0.6567,-0.0908,0.2514,0.5264,1.226,1.3985,41.0541,8.1888,5.7044,0.9901,0.05,xmiless
2817,177,9.977724,7.3011,3.8827,-4.0671,-3.2534,-1.8546,-1.6618,-1.1813,-0.6588,-0.0911,0.2522,0.5279,1.2292,1.4022,41.0489,8.383,5.8209,1.0038,0.05,xmiless
2818,178,9.989004,7.3237,3.8983,-4.0646,-3.2711,-1.868,-1.6691,-1.1854,-0.6609,-0.0914,0.253,0.5294,1.2325,1.4059,41.0437,8.581,5.9391,1.0176,0.05,xmiless
2819,179,10.0,7.3461,3.9139,-4.0621,-3.2887,-1.8814,-1.6763,-1.1895,-0.663,-0.0917,0.2538,0.5308,1.2357,1.4096,41.0383,8.7823,6.0587,1.0316,0.05,xmiless
2820,180,10.010724,7.3682,3.9294,-4.0597,-3.3062,-1.8947,-1.6836,-1.1936,-0.6651,-0.092,0.2546,0.5323,1.2388,1.4132,41.033,8.9861,6.1793,1.0457,0.05,xmiless
2821,181,10.02119,7.3901,3.9449,-4.0575,-3.3233,-1.9076,-1.6909,-1.1976,-0.6671,-0.0923,0.2554,0.5337,1.2418,1.4166,41.0276,9.1922,6.3009,1.06,0.05,xmiless
2822,182,10.031408,7.4118,3.9603,-4.0553,-3.3406,-1.9206,-1.6982,-1.2017,-0.6691,-0.0926,0.2562,0.5351,1.2447,1.42,41.0221,9.4019,6.424,1.0745,0.05,xmiless
2823,183,10.041392,7.4333,3.9757,-4.0533,-3.3577,-1.9336,-1.7054,-1.2056,-0.6711,-0.0929,0.257,0.5364,1.2476,1.4232,41.0165,9.6144,6.5486,1.0892,0.05,xmiless
2824,184,10.051152,7.4546,3.991,-4.0514,-3.3743,-1.9463,-1.7125,-1.2095,-0.6731,-0.0931,0.2577,0.5378,1.2505,1.4265,41.0109,9.8291,6.6743,1.104,0.05,xmiless
2825,185,10.060698,7.4756,4.0062,-4.0496,-3.3903,-1.9585,-1.7194,-1.2133,-0.675,-0.0934,0.2585,0.5391,1.2533,1.4297,41.0053,10.0451,6.8006,1.1189,0.05,xmiless
2826,186,10.070038,7.4965,4.0214,-4.048,-3.4061,-1.9708,-1.7263,-1.217,-0.6769,-0.0937,0.2592,0.5404,1.2561,1.4329,40.9995,10.2641,6.9284,1.134,0.05,xmiless
2827,187,10.079182,7.5171,4.0365,-4.0465,-3.4216,-1.9829,-1.733,-1.2206,-0.6787,-0.0939,0.26,0.5417,1.2588,1.436,40.9938,10.4852,7.0572,1.1492,0.05,xmiless
2828,188,10.088136,7.5374,4.0516,-4.0452,-3.4367,-1.9947,-1.7396,-1.2242,-0.6805,-0.0942,0.2607,0.543,1.2614,1.4389,40.9879,10.7074,7.1866,1.1646,0.05,xmiless
